sample_id,orig_path,edited_path,reversed_path,source_side,target_side,edit_magnitude,reverse_error
sample_2985,experiment/laterality/edits/sample_2985_original.png,experiment/laterality/edits/sample_2985_edited.png,experiment/laterality/edits/sample_2985_reversed.png,right,left,4.508452,0.004267
sample_2986,experiment/laterality/edits/sample_2986_original.png,experiment/laterality/edits/sample_2986_edited.png,experiment/laterality/edits/sample_2986_reversed.png,left,right,4.841268,0.003294
sample_2987,experiment/laterality/edits/sample_2987_original.png,experiment/laterality/edits/sample_2987_edited.png,experiment/laterality/edits/sample_2987_reversed.png,left,right,4.274955,0.002446
sample_2988,experiment/laterality/edits/sample_2988_original.png,experiment/laterality/edits/sample_2988_edited.png,experiment/laterality/edits/sample_2988_reversed.png,right,left,5.680036,0.005172
sample_2989,experiment/laterality/edits/sample_2989_original.png,experiment/laterality/edits/sample_2989_edited.png,experiment/laterality/edits/sample_2989_reversed.png,right,left,5.011802,0.002876
sample_2990,experiment/laterality/edits/sample_2990_original.png,experiment/laterality/edits/sample_2990_edited.png,experiment/laterality/edits/sample_2990_reversed.png,right,left,4.380206,0.004175
sample_2991,experiment/laterality/edits/sample_2991_original.png,experiment/laterality/edits/sample_2991_edited.png,experiment/laterality/edits/sample_2991_reversed.png,left,right,4.703692,0.003080
sample_2992,experiment/laterality/edits/sample_2992_original.png,experiment/laterality/edits/sample_2992_edited.png,experiment/laterality/edits/sample_2992_reversed.png,right,left,3.901335,0.005373
sample_2993,experiment/laterality/edits/sample_2993_original.png,experiment/laterality/edits/sample_2993_edited.png,experiment/laterality/edits/sample_2993_reversed.png,right,left,3.918285,0.006521
sample_2994,experiment/laterality/edits/sample_2994_original.png,experiment/laterality/edits/sample_2994_edited.png,experiment/laterality/edits/sample_2994_reversed.png,left,right,4.877256,0.003246
sample_2995,experiment/laterality/edits/sample_2995_original.png,experiment/laterality/edits/sample_2995_edited.png,experiment/laterality/edits/sample_2995_reversed.png,right,left,4.900223,0.003780
sample_2996,experiment/laterality/edits/sample_2996_original.png,experiment/laterality/edits/sample_2996_edited.png,experiment/laterality/edits/sample_2996_reversed.png,left,right,5.395183,0.005023
sample_2997,experiment/laterality/edits/sample_2997_original.png,experiment/laterality/edits/sample_2997_edited.png,experiment/laterality/edits/sample_2997_reversed.png,left,right,4.929001,0.006068
sample_2998,experiment/laterality/edits/sample_2998_original.png,experiment/laterality/edits/sample_2998_edited.png,experiment/laterality/edits/sample_2998_reversed.png,left,right,4.331321,0.004954
sample_2999,experiment/laterality/edits/sample_2999_original.png,experiment/laterality/edits/sample_2999_edited.png,experiment/laterality/edits/sample_2999_reversed.png,right,left,4.954195,0.005888
sample_3000,experiment/laterality/edits/sample_3000_original.png,experiment/laterality/edits/sample_3000_edited.png,experiment/laterality/edits/sample_3000_reversed.png,right,left,5.383083,0.003070
sample_3001,experiment/laterality/edits/sample_3001_original.png,experiment/laterality/edits/sample_3001_edited.png,experiment/laterality/edits/sample_3001_reversed.png,right,left,3.711105,0.003149
sample_3002,experiment/laterality/edits/sample_3002_original.png,experiment/laterality/edits/sample_3002_edited.png,experiment/laterality/edits/sample_3002_reversed.png,right,left,4.006421,0.003589
sample_3003,experiment/laterality/edits/sample_3003_original.png,experiment/laterality/edits/sample_3003_edited.png,experiment/laterality/edits/sample_3003_reversed.png,right,left,4.516817,0.003377
sample_3004,experiment/laterality/edits/sample_3004_original.png,experiment/laterality/edits/sample_3004_edited.png,experiment/laterality/edits/sample_3004_reversed.png,left,right,6.837091,0.003682
sample_3005,experiment/laterality/edits/sample_3005_original.png,experiment/laterality/edits/sample_3005_edited.png,experiment/laterality/edits/sample_3005_reversed.png,right,left,6.118776,0.003664
sample_3006,experiment/laterality/edits/sample_3006_original.png,experiment/laterality/edits/sample_3006_edited.png,experiment/laterality/edits/sample_3006_reversed.png,right,left,6.811293,0.003370
sample_3007,experiment/laterality/edits/sample_3007_original.png,experiment/laterality/edits/sample_3007_edited.png,experiment/laterality/edits/sample_3007_reversed.png,left,right,4.341921,0.003532
sample_3008,experiment/laterality/edits/sample_3008_original.png,experiment/laterality/edits/sample_3008_edited.png,experiment/laterality/edits/sample_3008_reversed.png,left,right,5.862052,0.004377
sample_3009,experiment/laterality/edits/sample_3009_original.png,experiment/laterality/edits/sample_3009_edited.png,experiment/laterality/edits/sample_3009_reversed.png,right,left,4.867468,0.004918
sample_3010,experiment/laterality/edits/sample_3010_original.png,experiment/laterality/edits/sample_3010_edited.png,experiment/laterality/edits/sample_3010_reversed.png,left,right,5.530711,0.003637
sample_3011,experiment/laterality/edits/sample_3011_original.png,experiment/laterality/edits/sample_3011_edited.png,experiment/laterality/edits/sample_3011_reversed.png,left,right,4.635282,0.003025
sample_3012,experiment/laterality/edits/sample_3012_original.png,experiment/laterality/edits/sample_3012_edited.png,experiment/laterality/edits/sample_3012_reversed.png,right,left,4.801532,0.004792
sample_3013,experiment/laterality/edits/sample_3013_original.png,experiment/laterality/edits/sample_3013_edited.png,experiment/laterality/edits/sample_3013_reversed.png,right,left,5.301401,0.003968
sample_3014,experiment/laterality/edits/sample_3014_original.png,experiment/laterality/edits/sample_3014_edited.png,experiment/laterality/edits/sample_3014_reversed.png,left,right,3.985756,0.002507
sample_3015,experiment/laterality/edits/sample_3015_original.png,experiment/laterality/edits/sample_3015_edited.png,experiment/laterality/edits/sample_3015_reversed.png,right,left,4.876659,0.003121
sample_3016,experiment/laterality/edits/sample_3016_original.png,experiment/laterality/edits/sample_3016_edited.png,experiment/laterality/edits/sample_3016_reversed.png,left,right,5.259818,0.003437
sample_3017,experiment/laterality/edits/sample_3017_original.png,experiment/laterality/edits/sample_3017_edited.png,experiment/laterality/edits/sample_3017_reversed.png,right,left,5.135158,0.003120
sample_3018,experiment/laterality/edits/sample_3018_original.png,experiment/laterality/edits/sample_3018_edited.png,experiment/laterality/edits/sample_3018_reversed.png,left,right,4.410023,0.002695
sample_3019,experiment/laterality/edits/sample_3019_original.png,experiment/laterality/edits/sample_3019_edited.png,experiment/laterality/edits/sample_3019_reversed.png,right,left,5.388016,0.004833
sample_3020,experiment/laterality/edits/sample_3020_original.png,experiment/laterality/edits/sample_3020_edited.png,experiment/laterality/edits/sample_3020_reversed.png,left,right,5.088795,0.003204
sample_3021,experiment/laterality/edits/sample_3021_original.png,experiment/laterality/edits/sample_3021_edited.png,experiment/laterality/edits/sample_3021_reversed.png,right,left,4.469534,0.003190
sample_3022,experiment/laterality/edits/sample_3022_original.png,experiment/laterality/edits/sample_3022_edited.png,experiment/laterality/edits/sample_3022_reversed.png,right,left,4.400893,0.004286
sample_3023,experiment/laterality/edits/sample_3023_original.png,experiment/laterality/edits/sample_3023_edited.png,experiment/laterality/edits/sample_3023_reversed.png,right,left,5.292089,0.004921
sample_3024,experiment/laterality/edits/sample_3024_original.png,experiment/laterality/edits/sample_3024_edited.png,experiment/laterality/edits/sample_3024_reversed.png,right,left,3.994447,0.004809
sample_3025,experiment/laterality/edits/sample_3025_original.png,experiment/laterality/edits/sample_3025_edited.png,experiment/laterality/edits/sample_3025_reversed.png,right,left,4.480412,0.007926
sample_3026,experiment/laterality/edits/sample_3026_original.png,experiment/laterality/edits/sample_3026_edited.png,experiment/laterality/edits/sample_3026_reversed.png,right,left,5.128537,0.003643
sample_3027,experiment/laterality/edits/sample_3027_original.png,experiment/laterality/edits/sample_3027_edited.png,experiment/laterality/edits/sample_3027_reversed.png,right,left,3.160107,0.003297
sample_3028,experiment/laterality/edits/sample_3028_original.png,experiment/laterality/edits/sample_3028_edited.png,experiment/laterality/edits/sample_3028_reversed.png,left,right,5.215458,0.004967
