sample_id,orig_path,edited_path,reversed_path,source_side,target_side,edit_magnitude,reverse_error
sample_040,experiment/gene_36class/edits/sample_040_original.png,experiment/gene_36class/edits/sample_040_edited.png,experiment/gene_36class/edits/sample_040_reversed.png,gene0,gene35,6.938936,0.004513
sample_041,experiment/gene_36class/edits/sample_041_original.png,experiment/gene_36class/edits/sample_041_edited.png,experiment/gene_36class/edits/sample_041_reversed.png,gene0,gene35,8.920840,0.004825
sample_042,experiment/gene_36class/edits/sample_042_original.png,experiment/gene_36class/edits/sample_042_edited.png,experiment/gene_36class/edits/sample_042_reversed.png,gene0,gene35,8.944521,0.003002
sample_043,experiment/gene_36class/edits/sample_043_original.png,experiment/gene_36class/edits/sample_043_edited.png,experiment/gene_36class/edits/sample_043_reversed.png,gene0,gene35,8.085902,0.003785
sample_044,experiment/gene_36class/edits/sample_044_original.png,experiment/gene_36class/edits/sample_044_edited.png,experiment/gene_36class/edits/sample_044_reversed.png,gene0,gene35,7.631633,0.005836
sample_045,experiment/gene_36class/edits/sample_045_original.png,experiment/gene_36class/edits/sample_045_edited.png,experiment/gene_36class/edits/sample_045_reversed.png,gene0,gene35,9.335372,0.002915
sample_046,experiment/gene_36class/edits/sample_046_original.png,experiment/gene_36class/edits/sample_046_edited.png,experiment/gene_36class/edits/sample_046_reversed.png,gene0,gene35,8.814898,0.002779
sample_047,experiment/gene_36class/edits/sample_047_original.png,experiment/gene_36class/edits/sample_047_edited.png,experiment/gene_36class/edits/sample_047_reversed.png,gene0,gene35,6.719829,0.004047
sample_048,experiment/gene_36class/edits/sample_048_original.png,experiment/gene_36class/edits/sample_048_edited.png,experiment/gene_36class/edits/sample_048_reversed.png,gene0,gene35,8.505752,0.004403
sample_049,experiment/gene_36class/edits/sample_049_original.png,experiment/gene_36class/edits/sample_049_edited.png,experiment/gene_36class/edits/sample_049_reversed.png,gene0,gene35,8.376006,0.005012
sample_050,experiment/gene_36class/edits/sample_050_original.png,experiment/gene_36class/edits/sample_050_edited.png,experiment/gene_36class/edits/sample_050_reversed.png,gene0,gene35,7.665201,0.002396
sample_051,experiment/gene_36class/edits/sample_051_original.png,experiment/gene_36class/edits/sample_051_edited.png,experiment/gene_36class/edits/sample_051_reversed.png,gene0,gene35,7.701993,0.003807
sample_052,experiment/gene_36class/edits/sample_052_original.png,experiment/gene_36class/edits/sample_052_edited.png,experiment/gene_36class/edits/sample_052_reversed.png,gene0,gene35,8.073009,0.005258
